,SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA
2612,C1CCN(CC1)C(=O)C/C(=N/O)/N,mol2612,OK,185.227,0.13540000000000013,2,3,78.92
2613,Cc1ccc2c(c1)nc([nH]2)/C(=C\c3ccc(cc3)O)/C#N,mol2613,OK,275.31100000000004,3.641100000000002,2,3,72.69999999999999
2614,c1nc(nn1c2[nH]nc(n2)[N+](=O)[O-])[N+](=O)[O-],mol2614,OK,226.11199999999997,-0.7982000000000002,1,9,158.56000000000003
2615,Cc1ccccc1CN2CCNC(=O)C2=O,mol2615,Filter41_12_dicarbonyl > 0,218.25599999999997,0.45342,1,2,49.410000000000004
2616,c1nc(nn1c2[nH]nc(n2)Cl)[N+](=O)[O-],mol2616,OK,215.55999999999997,-0.053000000000000214,1,7,115.42000000000002
2617,C1CN[C@H]1C(F)(F)F,mol2617,OK,125.09300000000002,0.9106000000000001,1,1,12.03
2618,C[N@]1CCOC[C@]2(C1)CCCN(C2)C(=O)c3cccs3,mol2618,OK,294.41999999999996,1.9324999999999994,0,4,32.78
2619,C[N@](C1CNC1)C2COC2,mol2619,OK,142.20199999999997,-0.7111999999999992,1,3,24.5
2620,Cn1c2ccc(cc2nc1c3cnn(c3)Cc4ccccc4)Br,mol2620,Filter9_metal > 0,367.25,4.247600000000003,0,4,35.64
2621,c1cc(sc1)/C=N/Nc2c3c([nH]cn3)ncn2,mol2621,OK,244.28300000000002,1.8603999999999994,2,6,78.85000000000001
2622,c1c(cn(n1)Cc2nnc3n2CCCCC3)N,mol2622,OK,232.29099999999994,0.8315000000000001,1,6,74.55
2623,c1ccc2c(c1)nc(c(n2)Cl)N/N=C/c3ccc(cc3)Cl,mol2623,OK,317.179,4.382600000000002,1,4,50.17
2624,c1cc(ncc1F)C2(CC2)C(=O)O,mol2624,OK,181.16599999999997,1.3369,1,2,50.19
2625,c1ccnc(c1)/C=N/N=c/2\cc[nH]c(=O)[nH]2,mol2625,OK,215.216,0.03279999999999983,2,4,86.25999999999999
2626,c1ccc(cc1)C2=NOC3(C2=O)CCCCC3,mol2626,OK,229.2789999999999,2.6929000000000007,0,3,38.66
2627,C1CCC(C1)CC(=O)N2CCC3(CC2)[C@@H](C[C@H]3O)O,mol2627,OK,267.36899999999997,1.301,2,3,60.77000000000001
2628,c1cc(c(c(c1OCCC#N)F)F)F,mol2628,OK,201.14699999999996,2.3963800000000006,0,2,33.019999999999996
2629,C[N@]1C[C@H]2CC[C@@H]1CN(C2)C(=O)Cc3cccc(c3)Cl,mol2629,OK,292.80999999999995,2.4351000000000003,0,2,23.55
2630,c1cc(c(cc1O)O)/C=N/Nc2c3c([nH]cn3)ncn2,mol2630,OK,270.252,1.2100999999999995,4,7,119.30999999999999
2631,CCSc1ccc(c(c1)Cl)F,mol2631,OK,190.67,3.5911000000000017,0,1,0.0
2632,c1c(cc(c(c1F)Br)F)OC(F)(F)Cl,mol2632,Filter9_metal > 0,293.4409999999999,3.8952,0,1,9.23
2633,Cn1c(=O)c2ccccc2nc1N/N=C/C3=Cc4ccccc4OC3,mol2633,Filter39_imine > 0,332.3630000000001,2.807200000000001,1,6,68.51
2634,Cc1c(n2ccsc2n1)/C=N/Nc3[nH]c4ccccc4n3,mol2634,OK,296.35900000000004,3.0265199999999997,2,6,70.37
2635,c1ccc2c(c1)c(c[nH]2)CC(=O)N3CCn4c3nc5c4cccc5,mol2635,OK,316.364,3.1069000000000013,1,3,53.92
2636,c1c(nc(cn1)F)C=O,mol2636,Filter38_aldehyde > 0,126.08999999999999,0.4282,0,3,42.85
2637,Cc1ccc(o1)[C@@H]2COCCN2,mol2637,OK,167.208,1.2489199999999998,1,3,34.4
2638,c1c(cc(c(c1O)[N+](=O)[O-])F)F,mol2638,OK,175.08999999999997,1.5786000000000002,1,3,63.370000000000005
2639,Cc1ccc2cc(c(=O)[nH]c2c1)/C=N/c3ccccc3,mol2639,OK,262.312,3.5871200000000014,1,2,45.22
2640,CC(C)(C)n1cc(cn1)Br,mol2640,Filter9_metal > 0,203.08299999999997,2.4006000000000007,0,2,17.82
2641,c1cc2c(cc1Br)C(=O)CN=N2,mol2641,Filter9_metal > 0,225.04499999999996,2.7291000000000007,0,3,41.79
2642,CCC(=O)N1[C@H]2C[C@@H]3CC[C@]2(C3(C)C)CS1(=O)=O,mol2642,OK,271.38199999999995,1.7633,0,3,54.45
2643,Cc1ccccc1/C=N/Nc2c3c(c(sc3ncn2)C)C,mol2643,OK,296.39900000000006,4.062560000000003,1,5,50.17
2644,CN(C)C(=O)Cc1ccccc1Br,mol2644,Filter9_metal > 0,242.11599999999999,2.0798,0,1,20.310000000000002
2645,c1ccc2c(c1)/C(=N/N=C\3/NC(=O)CS3)/C(=O)N2,mol2645,OK,260.27799999999996,0.5618,2,5,82.92
2646,c1cc2cn[nH]c2c(c1)NC(=O)c3ccc4c(c3)OCO4,mol2646,OK,281.271,2.5439000000000007,2,4,76.24000000000001
2647,C[N@]1CCOC[C@]2(C1)CCCN(C2)C(=O)c3cc4ccccc4[nH]3,mol2647,OK,327.428,2.3522999999999996,1,3,48.57
2648,Cc1c(c(ccc1OCC(C)C)Br)C,mol2648,Filter9_metal > 0,257.17099999999994,4.100740000000004,0,1,9.23
2649,c1ccc(c(c1)Cn2cccc(c2=O)C=O)Cl,mol2649,Filter38_aldehyde > 0,247.68099999999998,2.3625,0,3,39.07
2650,Cc1cc(nc(n1)C)N/N=C\2/CCn3c2ccc3,mol2650,OK,241.298,2.11484,1,5,55.1
2651,Cn1c(c(c(n1)C(F)(F)F)N=Nc2ccc(cc2)Cl)O,mol2651,Filter5_azo > 0,304.65900000000005,4.213300000000002,1,5,62.769999999999996
2652,Cc1ccc(s1)C(=O)N2CCCc3c2cc(cc3)F,mol2652,OK,275.34799999999996,3.7886200000000025,0,2,20.310000000000002
2653,CO/N=C/C(=C/c1ccc(cc1)F)/C#N,mol2653,Filter89_hydroxylamine > 0,204.20399999999998,2.3648800000000003,0,3,45.379999999999995
2654,Cc1cccc(c1C#N)C(=O)OC,mol2654,OK,175.18699999999998,1.6533,0,3,50.09
2655,CCOc1ccc(c(c1C)C)Br,mol2655,Filter9_metal > 0,229.11699999999996,3.464640000000002,0,1,9.23
2656,c1cc(cc(c1)Cl)C(=O)CN2C(=O)CC3(C2=O)CCCCC3,mol2656,OK,319.7880000000001,3.2321000000000017,0,3,54.45
2657,c1ccc2c(c1)nc(c(n2)Cl)N/N=C/c3cccnc3,mol2657,OK,283.72200000000004,3.124200000000001,1,5,63.06
2658,c1cc(cc(c1)F)CN2CCC3(C2=O)CCNCC3,mol2658,OK,262.328,1.9278,1,2,32.34
2659,c1ccnc(c1)/C=N/Nc2ccc(c(c2)Cl)Cl,mol2659,OK,266.131,3.8344000000000014,1,3,37.28
2660,COc1ccccc1c2nc(no2)CN,mol2660,OK,205.21699999999996,1.2039,1,5,74.17
2661,c1c(cc(c(c1C(=O)O)F)Cl)Br,mol2661,Filter9_metal > 0,253.45399999999998,2.9398,1,1,37.3
2662,c1ccc2c(c1)C(=NS2(=O)=O)N/N=C/c3ccc(cc3)Cl,mol2662,OK,319.773,2.4126000000000003,1,4,70.89
2663,Cc1cccc(c1)N=C,mol2663,OK,119.167,2.32712,0,1,12.36
2664,c1ccc(c(c1)NC(=O)c2ccc[n+](c2)[O-])O,mol2664,OK,230.223,1.2778999999999996,2,3,76.27000000000001
2665,Cc1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])O,mol2665,OK,198.134,1.5170200000000007,1,5,106.51
